event_number,tournament_type
1,REGULAR
2,REGULAR
3,REGULAR
4,REGULAR
5,SIGNATURE_NO_CUT
6,SIGNATURE_CUT
7,REGULAR
8,SIGNATURE_CUT
9,PLAYERS
10,REGULAR
11,REGULAR
12,REGULAR
13,MAJOR_MASTERS
14,SIGNATURE_NO_CUT
15,SIGNATURE_NO_CUT
16,SIGNATURE_NO_CUT
17,MAJOR_PGA
18,REGULAR
19,REGULAR
20,SIGNATURE_CUT
21,REGULAR
22,MAJOR_US_OPEN
23,SIGNATURE_NO_CUT
24,REGULAR
25,REGULAR
26,MAJOR_OPEN
27,REGULAR
28,REGULAR
29,REGULAR
30,PLAYOFF
31,PLAYOFF
32,PLAYOFF
