player,tournament_id,round,score
Max Homa,401353193,1,67.0
Maverick McNealy,401353193,1,68.0
Mito Pereira,401353193,1,67.0
Marc Leishman,401353193,1,69.0
Talor Gooch,401353193,1,69.0
Hideki Matsuyama,401353193,1,69.0
Patrick Rodgers,401353193,1,68.0
John Augenstein,401353193,1,68.0
C.T. Pan,401353193,1,71.0
Scott Stallings,401353193,1,67.0
Austin Cook,401353193,1,68.0
Scott Piercy,401353193,1,69.0
Si Woo Kim,401353193,1,68.0
Will Zalatoris,401353193,1,68.0
Jim Knous,401353193,1,70.0
Mark Hubbard,401353193,1,70.0
Bronson Burgoon,401353193,1,68.0
Nate Lashley,401353193,1,67.0
Harold Varner III,401353193,1,68.0
Troy Merritt,401353193,1,67.0
Beau Hossler,401353193,1,70.0
Brendon Todd,401353193,1,71.0
Peter Malnati,401353193,1,71.0
Cameron Tringale,401353193,1,66.0
Charley Hoffman,401353193,1,69.0
David Lipsky,401353193,1,73.0
Dawie van der Walt,401353193,1,68.0
Chez Reavie,401353193,1,65.0
Patton Kizzire,401353193,1,69.0
Greyson Sigg,401353193,1,68.0
Nick Watney,401353193,1,71.0
Wyndham Clark,401353193,1,68.0
Kevin Tway,401353193,1,70.0
Andrew Putnam,401353193,1,72.0
Webb Simpson,401353193,1,70.0
Taylor Pendrith,401353193,1,71.0
Nick Hardy,401353193,1,69.0
Matt Kuchar,401353193,1,70.0
Aaron Baddeley,401353193,1,71.0
Phil Mickelson,401353193,1,70.0
Tom Hoge,401353193,1,71.0
Brendan Steele,401353193,1,70.0
Paul Barjon,401353193,1,70.0
Jim Herman,401353193,1,70.0
Joseph Bramlett,401353193,1,70.0
Jason Dufner,401353193,1,67.0
Peter Uihlein,401353193,1,68.0
Sung Kang,401353193,1,70.0
Dylan Wu,401353193,1,70.0
Sahith Theegala,401353193,1,69.0
Chase Seiffert,401353193,1,73.0
Matt NeSmith,401353193,1,73.0
Adam Schenk,401353193,1,68.0
Luke List,401353193,1,71.0
Scott Gutschewski,401353193,1,69.0
Ryan Armour,401353193,1,72.0
Adam Svensson,401353193,1,70.0
Sam Ryder,401353193,1,69.0
Vaughn Taylor,401353193,1,70.0
Quade Cummins,401353193,1,72.0
Sean O'Hair,401353193,1,69.0
Russell Knox,401353193,1,69.0
Justin Suh,401353193,1,70.0
Nick Taylor,401353193,1,70.0
Cameron Percy,401353193,1,71.0
Michael Gligic,401353193,1,71.0
Lanto Griffin,401353193,1,73.0
Austin Smotherman,401353193,1,70.0
David Skinns,401353193,1,70.0
Michael Thompson,401353193,1,72.0
Bo Van Pelt,401353193,1,75.0
Tyler Duncan,401353193,1,74.0
James Hahn,401353193,1,73.0
Trey Mullinax,401353193,1,73.0
Chad Ramey,401353193,1,73.0
Davis Riley,401353193,1,72.0
Kyle Stanley,401353193,1,71.0
J.B. Holmes,401353193,1,71.0
Curtis Thompson,401353193,1,71.0
Doc Redman,401353193,1,71.0
J.J. Spaun,401353193,1,70.0
Danny Willett,401353193,1,70.0
Adam Long,401353193,1,70.0
Martin Trainer,401353193,1,70.0
Aaron Rai,401353193,1,70.0
Charles Howell III,401353193,1,70.0
Brandt Snedeker,401353193,1,68.0
Ryan Moore,401353193,1,74.0
Jon Rahm,401353193,1,72.0
Kris Ventura,401353193,1,72.0
Bo Hoag,401353193,1,72.0
Hank Lebioda,401353193,1,71.0
Harry Higgs,401353193,1,71.0
Lucas Herbert,401353193,1,71.0
William McGirt,401353193,1,71.0
Turk Pettit,401353193,1,71.0
Scott Brown,401353193,1,70.0
Roger Sloan,401353193,1,70.0
Bill Haas,401353193,1,69.0
Adam Hadwin,401353193,1,66.0
Cameron Champ,401353193,1,73.0
S.Y. Noh,401353193,1,72.0
John Huh,401353193,1,71.0
Kelly Kraft,401353193,1,71.0
Vince Whaley,401353193,1,71.0
Hayden Buckley,401353193,1,71.0
Ben Martin,401353193,1,70.0
Emiliano Grillo,401353193,1,70.0
Doug Ghim,401353193,1,70.0
Callum Tarren,401353193,1,70.0
Andrew Novak,401353193,1,70.0
Jamie Lovemark,401353193,1,69.0
Jonathan Byrd,401353193,1,69.0
Brian Stuard,401353193,1,77.0
Stephan Jaeger,401353193,1,75.0
Brice Garnett,401353193,1,73.0
Joshua Creel,401353193,1,73.0
Max McGreevy,401353193,1,72.0
Seth Reeves,401353193,1,70.0
Kurt Kitayama,401353193,1,76.0
Alex Smalley,401353193,1,75.0
Brandon Hagy,401353193,1,74.0
Josh McCarthy,401353193,1,74.0
Brett Drewitt,401353193,1,74.0
Jonas Blixt,401353193,1,73.0
David Hearn,401353193,1,72.0
Denny McCarthy,401353193,1,72.0
Brandon Wu,401353193,1,71.0
Pat Perez,401353193,1,70.0
Kevin Na,401353193,1,69.0
Hudson Swafford,401353193,1,77.0
J.T. Poston,401353193,1,76.0
Taylor Moore,401353193,1,74.0
Kevin Stadler,401353193,1,74.0
Lee Hodges,401353193,1,73.0
Chris Stroud,401353193,1,72.0
Kiradech Aphibarnrat,401353193,1,72.0
Danny Lee,401353193,1,71.0
Chesson Hadley,401353193,1,71.0
Tyler McCumber,401353193,1,70.0
Cameron Young,401353193,1,75.0
Kramer Hickok,401353193,1,74.0
Trevor Werbylo,401353193,1,73.0
D.J. Trahan,401353193,1,70.0
Justin Lower,401353193,1,69.0
Ben Kohles,401353193,1,74.0
Kevin Yu,401353193,1,71.0
Kevin Chappell,401353193,1,78.0
Jared Wolfe,401353193,1,75.0
Sepp Straka,401353193,1,72.0
Dylan Frittelli,401353193,1,74.0
Michael Duncan,401353193,1,78.0
Andrew Landry,401353193,1,77.0
Sebastián Muñoz,401353193,1,76.0
Ted Potter Jr.,401353193,1,74.0
Max Homa,401353193,2,72.0
Maverick McNealy,401353193,2,64.0
Mito Pereira,401353193,2,67.0
Marc Leishman,401353193,2,71.0
Talor Gooch,401353193,2,70.0
Hideki Matsuyama,401353193,2,69.0
Patrick Rodgers,401353193,2,70.0
John Augenstein,401353193,2,69.0
C.T. Pan,401353193,2,68.0
Scott Stallings,401353193,2,70.0
Austin Cook,401353193,2,71.0
Scott Piercy,401353193,2,69.0
Si Woo Kim,401353193,2,70.0
Will Zalatoris,401353193,2,67.0
Jim Knous,401353193,2,67.0
Mark Hubbard,401353193,2,68.0
Bronson Burgoon,401353193,2,67.0
Nate Lashley,401353193,2,70.0
Harold Varner III,401353193,2,68.0
Troy Merritt,401353193,2,68.0
Beau Hossler,401353193,2,64.0
Brendon Todd,401353193,2,70.0
Peter Malnati,401353193,2,66.0
Cameron Tringale,401353193,2,72.0
Charley Hoffman,401353193,2,71.0
David Lipsky,401353193,2,64.0
