player,tournament_id,round,score
Hideki Matsuyama,401703489,1,65
Collin Morikawa,401703489,1,66
Sungjae Im,401703489,1,69
Jhonattan Vegas,401703489,1,68
Ludvig Åberg,401703489,1,69
Corey Conners,401703489,1,66
Thomas Detry,401703489,1,67
Sam Burns,401703489,1,72
Cameron Young,401703489,1,66
Maverick McNealy,401703489,1,68
Tom Hoge,401703489,1,64
Harry Hall,401703489,1,68
Taylor Pendrith,401703489,1,71
Cam Davis,401703489,1,73
Aaron Rai,401703489,1,68
Robert MacIntyre,401703489,1,70
Austin Eckroat,401703489,1,68
Patrick Cantlay,401703489,1,74
Keegan Bradley,401703489,1,69
Tony Finau,401703489,1,67
Wyndham Clark,401703489,1,69
Adam Scott,401703489,1,68
Sepp Straka,401703489,1,69
Matt Fitzpatrick,401703489,1,73
Max Greyserman,401703489,1,70
Justin Thomas,401703489,1,71
Max Homa,401703489,1,69
Will Zalatoris,401703489,1,65
Adam Hadwin,401703489,1,67
Xander Schauffele,401703489,1,72
Russell Henley,401703489,1,70
Akshay Bhatia,401703489,1,71
Si Woo Kim,401703489,1,76
Byeong Hun An,401703489,1,70
Nico Echavarria,401703489,1,71
Sahith Theegala,401703489,1,76
Davis Thompson,401703489,1,78
Stephan Jaeger,401703489,1,72
Viktor Hovland,401703489,1,70
J.T. Poston,401703489,1,74
Jason Day,401703489,1,70
Christiaan Bezuidenhout,401703489,1,73
Patton Kizzire,401703489,1,70
Kevin Yu,401703489,1,73
Chris Kirk,401703489,1,74
Chris Gotterup,401703489,1,72
Denny McCarthy,401703489,1,73
Matthieu Pavon,401703489,1,74
Nick Taylor,401703489,1,73
Brice Garnett,401703489,1,69
Billy Horschel,401703489,1,72
Eric Cole,401703489,1,74
Matt McCarty,401703489,1,74
Peter Malnati,401703489,1,74
Nick Dunlap,401703489,1,76
Jake Knapp,401703489,1,72
Rafael Campos,401703489,1,72
Brian Harman,401703489,1,75
Hideki Matsuyama,401703489,2,65
Collin Morikawa,401703489,2,65
Sungjae Im,401703489,2,67
Jhonattan Vegas,401703489,2,68
Ludvig Åberg,401703489,2,70
Corey Conners,401703489,2,66
Thomas Detry,401703489,2,65
Sam Burns,401703489,2,66
Cameron Young,401703489,2,67
Maverick McNealy,401703489,2,64
Tom Hoge,401703489,2,68
Harry Hall,401703489,2,65
Taylor Pendrith,401703489,2,65
Cam Davis,401703489,2,64
Aaron Rai,401703489,2,71
Robert MacIntyre,401703489,2,66
Austin Eckroat,401703489,2,68
Patrick Cantlay,401703489,2,64
Keegan Bradley,401703489,2,64
Tony Finau,401703489,2,69
Wyndham Clark,401703489,2,64
Adam Scott,401703489,2,69
Sepp Straka,401703489,2,65
Matt Fitzpatrick,401703489,2,65
Max Greyserman,401703489,2,67
Justin Thomas,401703489,2,71
Max Homa,401703489,2,69
Will Zalatoris,401703489,2,70
Adam Hadwin,401703489,2,69
Xander Schauffele,401703489,2,70
Russell Henley,401703489,2,69
Akshay Bhatia,401703489,2,72
Si Woo Kim,401703489,2,68
Byeong Hun An,401703489,2,70
Nico Echavarria,401703489,2,71
Sahith Theegala,401703489,2,68
Davis Thompson,401703489,2,64
Stephan Jaeger,401703489,2,67
Viktor Hovland,401703489,2,69
J.T. Poston,401703489,2,64
Jason Day,401703489,2,70
Christiaan Bezuidenhout,401703489,2,70
Patton Kizzire,401703489,2,69
Kevin Yu,401703489,2,68
Chris Kirk,401703489,2,67
Chris Gotterup,401703489,2,69
Denny McCarthy,401703489,2,66
Matthieu Pavon,401703489,2,70
Nick Taylor,401703489,2,73
Brice Garnett,401703489,2,71
Billy Horschel,401703489,2,69
Eric Cole,401703489,2,68
Matt McCarty,401703489,2,67
Peter Malnati,401703489,2,64
Nick Dunlap,401703489,2,70
Jake Knapp,401703489,2,73
Rafael Campos,401703489,2,72
Brian Harman,401703489,2,74
Hideki Matsuyama,401703489,3,62
Collin Morikawa,401703489,3,62
Sungjae Im,401703489,3,62
Jhonattan Vegas,401703489,3,66
Ludvig Åberg,401703489,3,65
Corey Conners,401703489,3,69
Thomas Detry,401703489,3,65
Sam Burns,401703489,3,66
Cameron Young,401703489,3,68
Maverick McNealy,401703489,3,69
Tom Hoge,401703489,3,68
Harry Hall,401703489,3,66
Taylor Pendrith,401703489,3,67
Cam Davis,401703489,3,64
Aaron Rai,401703489,3,66
Robert MacIntyre,401703489,3,69
Austin Eckroat,401703489,3,68
Patrick Cantlay,401703489,3,65
Keegan Bradley,401703489,3,70
Tony Finau,401703489,3,66
Wyndham Clark,401703489,3,69
Adam Scott,401703489,3,64
Sepp Straka,401703489,3,67
Matt Fitzpatrick,401703489,3,66
Max Greyserman,401703489,3,63
Justin Thomas,401703489,3,68
Max Homa,401703489,3,67
Will Zalatoris,401703489,3,65
Adam Hadwin,401703489,3,68
Xander Schauffele,401703489,3,66
