player,tournament_id,round,score
Chris Kirk,401580329,1,67
Sahith Theegala,401580329,1,64
Jordan Spieth,401580329,1,66
Byeong Hun An,401580329,1,68
Sungjae Im,401580329,1,65
Brian Harman,401580329,1,67
J.T. Poston,401580329,1,68
Collin Morikawa,401580329,1,65
Scottie Scheffler,401580329,1,66
Jason Day,401580329,1,65
Xander Schauffele,401580329,1,66
Sepp Straka,401580329,1,67
Patrick Cantlay,401580329,1,66
Adam Hadwin,401580329,1,70
Eric Cole,401580329,1,70
Max Homa,401580329,1,67
Patrick Rodgers,401580329,1,69
Tyrrell Hatton,401580329,1,69
Matt Fitzpatrick,401580329,1,69
Harris English,401580329,1,71
Akshay Bhatia,401580329,1,69
Erik van Rooyen,401580329,1,72
Luke List,401580329,1,67
Viktor Hovland,401580329,1,65
Mackenzie Hughes,401580329,1,68
Taylor Moore,401580329,1,71
Si Woo Kim,401580329,1,70
Nico Echavarria,401580329,1,70
Wyndham Clark,401580329,1,71
Kurt Kitayama,401580329,1,72
Lucas Glover,401580329,1,72
Adam Schenk,401580329,1,69
Cameron Young,401580329,1,68
Corey Conners,401580329,1,69
Adam Svensson,401580329,1,70
Sam Burns,401580329,1,69
Brendon Todd,401580329,1,67
Tom Hoge,401580329,1,67
Tony Finau,401580329,1,69
Justin Rose,401580329,1,71
Andrew Putnam,401580329,1,74
Matt Wallace,401580329,1,68
Denny McCarthy,401580329,1,70
Emiliano Grillo,401580329,1,66
Tom Kim,401580329,1,68
Keegan Bradley,401580329,1,69
Ludvig Åberg,401580329,1,69
Nick Hardy,401580329,1,71
Tommy Fleetwood,401580329,1,70
Séamus Power,401580329,1,71
Camilo Villegas,401580329,1,65
Davis Riley,401580329,1,70
Cam Davis,401580329,1,75
Russell Henley,401580329,1,69
Nick Taylor,401580329,1,69
Rickie Fowler,401580329,1,70
Lee Hodges,401580329,1,72
Hideki Matsuyama,401580329,1,71
Vincent Norrman,401580329,1,73
Chris Kirk,401580329,2,65
Sahith Theegala,401580329,2,69
Jordan Spieth,401580329,2,67
Byeong Hun An,401580329,2,64
Sungjae Im,401580329,2,66
Brian Harman,401580329,2,66
J.T. Poston,401580329,2,68
Collin Morikawa,401580329,2,67
